way_id,point_index,lat,lon
30025213,10,50.1045537,14.4098073
30025213,11,50.1045682,14.409717
30025215,0,50.107385,14.4149302
30025215,1,50.107313,14.4148805
30025215,2,50.1072242,14.4148563
30025215,3,50.1070015,14.4148587
30025215,4,50.1065951,14.41499
30025215,5,50.1064994,14.4150205
30025215,6,50.1064321,14.4150292
30025215,7,50.1063858,14.4150259
30025215,8,50.1062432,14.4149925
30025215,9,50.1062101,14.414988
30025215,10,50.106183,14.4149927
30025215,11,50.1061412,14.4150106
30025215,12,50.1059966,14.4150913
30025215,13,50.1057682,14.415205
30025215,14,50.1057243,14.4153029
30025215,15,50.105704,14.4153481
30025215,16,50.1056949,14.4154803
30025216,0,50.1070015,14.4148587
30025216,1,50.1070464,14.4147418
30025216,2,50.1071827,14.4145184
30025216,3,50.1072802,14.4143771
30025218,0,50.1057298,14.4131893
30025218,1,50.1058664,14.4130865
30025218,2,50.1060447,14.4129661
30025218,3,50.1061378,14.4129233
30025218,4,50.1062264,14.412886
30025218,5,50.1063328,14.4128632
30025218,6,50.1064591,14.4128565
30025219,0,50.1061607,14.4113627
30025219,1,50.1061481,14.4114682
30025219,2,50.1062192,14.4115659
30025220,0,50.1066928,14.412245
30025220,1,50.1067307,14.4123383
30025220,2,50.1067499,14.4124511
30025220,3,50.1067544,14.4125458
30025220,4,50.1067299,14.4134494
30025220,5,50.1067281,14.4135032
30025220,6,50.1067306,14.4135477
30025220,7,50.1067415,14.4135844
30025220,8,50.1067571,14.4136199
30025220,9,50.1068167,14.4137024
30025220,10,50.1068941,14.4137077
30025220,11,50.1068172,14.4138333
30025220,12,50.1066602,14.4139789
30025220,13,50.106589,14.4141226
30025220,14,50.1065763,14.4141802
30025220,15,50.1065604,14.4142169
30025220,16,50.1065392,14.4142478
30025220,17,50.1064254,14.4143625
31172075,0,50.1043609,14.4146714
31172075,1,50.1044239,14.4147756
31172076,0,50.1048581,14.4139033
31172076,1,50.1048833,14.4141576
31172076,2,50.1048885,14.4142984
31172076,3,50.1048804,14.4144039
31172077,0,50.1063817,14.4066777
31172077,1,50.106426,14.4069033
31172077,2,50.1063908,14.4070391
31172077,3,50.1063503,14.4075108
31172077,4,50.1062985,14.4080418
31172077,5,50.1062789,14.4084234
31172077,6,50.1062865,14.4091341
31172077,7,50.1063259,14.4098204
31172077,8,50.1063359,14.4101888
31172077,9,50.1062907,14.4106023
31172077,10,50.1063354,14.4109732
31172077,11,50.106332,14.4113269
31172077,12,50.1063123,14.4113996
32114980,0,50.1034672,14.4259532
32114980,1,50.1032639,14.425746
32114982,0,50.1032639,14.425746
32114982,1,50.1032172,14.4256505
32114982,2,50.1031962,14.4255821
32114982,3,50.1031904,14.4254958
32114982,4,50.1032128,14.4249276
32114982,5,50.1032041,14.4248456
32114982,6,50.1031679,14.4245576
32114982,7,50.1029875,14.4232364
33898711,0,50.1035353,14.4256195
33898711,1,50.1036413,14.4251119
33898711,2,50.1037372,14.4245754
33898711,3,50.1038082,14.4240751
33898711,4,50.1038394,14.4236341
33898711,5,50.1038206,14.4232401
33898711,6,50.1038396,14.4228826
33898711,7,50.1038968,14.4225198
33898711,8,50.1039981,14.4222667
33898711,9,50.1040752,14.4221877
33898711,10,50.1042763,14.4220484
33898711,11,50.1043713,14.4220345
33898711,12,50.1044673,14.422069
33898711,13,50.1044988,14.4219914
33898713,0,50.1039972,14.4194448
33898713,1,50.1039443,14.4192837
33898713,2,50.1037533,14.4183734
33898713,3,50.1036997,14.41828
33898714,0,50.1035427,14.4183527
33898714,1,50.1036411,14.4183327
33898714,2,50.1036997,14.41828
33898714,3,50.1039291,14.4173139
33898714,4,50.1040029,14.4171156
33898714,5,50.1040528,14.4169129
33898714,6,50.1040565,14.4167253
33898714,7,50.1040174,14.4163797
33898715,0,50.1039921,14.4218438
33898715,1,50.1040116,14.4220091
33898715,2,50.1039981,14.4222667
33898716,0,50.1038394,14.4236341
33898716,1,50.103873,14.4237217
33898716,2,50.104025,14.4242121
33898716,3,50.1041776,14.4244763
33898716,4,50.1044995,14.4248847
33898716,5,50.1045936,14.4250795
33898716,6,50.1046428,14.4252784
33898716,7,50.1046668,14.4254538
33898716,8,50.1046662,14.4256603
33898716,9,50.1046382,14.4258709
33898716,10,50.1046129,14.4259734
33898717,0,50.1037296,14.4285234
33898717,1,50.1038739,14.4286096
33898717,2,50.1039683,14.4286658
33898717,3,50.1040447,14.4286749
